         0     -4.99583333e-09      9.98333333e-08                   1      9.99995833e-07     -1.66666667e-10
       0.1     -1.99333334e-08      1.98666668e-07                   1      9.99933403e-07     -1.33083333e-09
       0.2     -4.46625012e-08      2.95500037e-07                   1      9.99663458e-07     -4.48000003e-09
       0.3     -7.89333478e-08      3.89333641e-07                   1      9.98938917e-07     -1.05816672e-08
       0.4     -1.22395925e-07      4.79168176e-07                   1      9.97417361e-07     -2.05733382e-08
       0.5     -1.74600404e-07      5.64005461e-07                   1       9.9466454e-07     -3.53525262e-08
       0.6     -2.34997233e-07      6.42849455e-07                   1      9.90158868e-07     -5.57667739e-08
       0.7     -3.02937425e-07      7.14707743e-07                   1      9.83296916e-07     -8.26036938e-08
       0.8     -3.77673014e-07      7.78593596e-07                   1      9.73399907e-07     -1.16581046e-07
       0.9     -4.58357757e-07      8.33528665e-07                   1      9.59721189e-07     -1.58336873e-07
         1     -5.44048131e-07      8.78546387e-07                   1      9.41454703e-07      -2.0841972e-07
       1.1     -6.33704718e-07      9.12696173e-07                   1       9.1774441e-07     -2.67278971e-07
       1.2     -7.26194048e-07      9.35048422e-07                   1       8.8769469e-07     -3.35255347e-07
       1.3     -8.20290977e-07      9.44700415e-07                   1       8.5038167e-07     -4.12571618e-07
       1.4     -9.14681717e-07      9.40783113e-07                   1      8.04865478e-07     -4.99323577e-07
       1.5     -1.00796758e-06      9.22468892e-07                   1      7.50203372e-07     -5.95471361e-07
       1.6     -1.09866953e-06      8.88980218e-07                   1      6.85463728e-07     -7.00831178e-07
       1.7      -1.1852337e-06      8.39599257e-07                   1       6.0974082e-07      -8.1506754e-07
       1.8     -1.26603784e-06      7.73678408e-07                   1      5.22170363e-07     -9.37686096e-07
       1.9     -1.33939894e-06      6.90651717e-07                   1      4.21945717e-07     -1.06802716e-06
         2     -1.40358197e-06      5.90047126e-07                   1       3.0833472e-07     -1.20526008e-06
       2.1     -1.45680995e-06      4.71499497e-07                   1      1.80697025e-07     -1.34837849e-06
       2.2     -1.49727527e-06      3.34764317e-07                   1      3.85018597e-08     -1.49619671e-06
       2.3     -1.52315251e-06      1.79731988e-07                   1     -1.18653904e-07      -1.6473473e-06
       2.4     -1.53261266e-06      6.44259008e-09                   1     -2.91027511e-07     -1.80027997e-06
       2.5     -1.52383881e-06     -1.84899034e-07                   1     -4.78712047e-07     -1.95326198e-06
